start,end,text
0,5640," All right, who are we sharing this podcast with, by the way?"
5640,6640," The world."
6640,7640," The world."
7640,10720," Are we promoting it to our work colleagues?"
10720,13160," Of course, yeah."
13160,15600," That's our first users."
15600,19480," All right, well, let's get into it."
19480,22600," Topic number one, the news."
22600,27800," What has the shakeout revealed in the AI rotation?"
27800,32740," The crypto shakeout and the rotation of capital towards AI."
32740,33740," That's right."
33740,34740," Exactly."
34740,35900," I don't know."
35900,39840," I think it's a bit scary, right?"
39840,46000," Everybody, I think, there was this talk about the super cycle, but I don't know if that's"
46000,47000," what's happening now."
47000,51200," It seems like the capital is going and a lot of people are scared that it's not coming"
51200,52760," back, right?"
52760,53760," Yeah."
53760,57320," Yeah, Tyler, you brought up some fear about this earlier this week."
57320,58880," Would you share your thoughts?"
58880,60520," Oh, man."
60520,64980," I mean, the first sort of thing is just that, like, the money printer isn't ripping right"
64980,65980," now."
65980,72760," So Bitcoin and hard assets aren't necessarily going to run when that happens."
72760,78400," And here I was thinking that they're going to lower rates sometime in the future."
78400,81920," You know, Trump is going to change out the people at the Fed."
81920,85640," He's got this new guy that's like his dude in the Fed."
85640,91120," He's going to run the economy hot because Trump loves low rates."
91120,93120," Bitcoin is going to have its big bull market."
93120,101680," And then Trump just decides to start this insane war in Iran and just kick off a whole"
101680,102680," huge round of inflation."
102680,111480," So now we've got to keep rates high and that is going to hurt all these assets, obviously."
111480,115860," And so that's like one thing I think that's kind of where a lot of the liquidity is gone."
115860,121080," But then you also kind of simultaneously have this thing happening where obviously there's"
121080,127920," a lot of hype and there's kind of like a bubble going on with AI stocks and AI investment"
127920,129520," and all this stuff."
129520,134200," So that's like taking a lot of the world's attention, a lot of that like marginal dollar,"
134200,135720," that kind of thing."
135720,141600," That makes Bitcoin and crypto look kind of like not only boring, but people are like"
141600,147760," that was supposed to be the thing that you could potentially invest in if you were feeling"
147760,153400," like bullish, maybe like a little bit like risk-loving."
153400,158920," And now all that attention has gone from like mean stocks into these AI stocks and all this"
158920,160200," other stuff."
160200,166800," And so it's like, why would you buy Bitcoin if rates are going to stay elevated and AI"
166800,170360," stocks are just ripping because that's the new narrative."
170360,175000," So I think that's taken a lot of the wind out of the sales of Bitcoin from a market"
175000,178480," sense."
178480,181120," But you know, that's not necessarily what we're here for."
181120,182120," We're here for the tech."
182120,184120," Am I right, Jackson?"
184120,185520," Yeah, absolutely."
185520,188720," I do wonder on that note about being here for the tech."
188720,193600," I've been here for the tech for a long time, and that's why I'm still here."
193600,199480," But has anything changed fundamentally, do you think, with the narrative of Bitcoin and"
199480,203440," I guess to a lesser extent stablecoins, or is the utility still there?"
203440,208320," And we're just kind of like riding out another one of these like famous crypto liquidity"
208320,210200," waves."
210200,217920," I think most likely it's just kind of like riding out another one."
217920,219200," That's how I feel."
219200,222160," But also this one feels a little bit different to me."
222160,228760," I think the main thing to me is like, I feel like people kind of always like one of the"
228760,232200," cheap values or something like Bitcoin is like this store of value."
232200,236560," And it's kind of like this thing that stays valuable when like times are scary."
236560,241280," And there's like a lot of tumultuous stuff going on in the world."
241280,250740," And then AI potentially paints this totally different future in a way where it's like"
250740,257200," in the modern economies, we have these like debt problems where our debt was growing faster"
257200,262000," than our GDP, and we're spending more than GDP growth, therefore we're getting more and"
262000,263000," more debt over time."
263000,267660," And when that was like an equation that could never work, I think now we might have had"
267660,273680," this like magic thing happen where we have this crazy technology that could actually"
273680,280840," bend the GDP growth trajectory to where it kind of bails out all those governments."
