start,end,text
0,0,""
0,480," All"
480,1580," right,"
1580,2060," who"
2060,2590," are"
2590,2910," we"
2910,4000," sharing"
4000,4270," this"
4270,4550," podcast"
4550,4960," with,"
4960,5010," by"
5010,5210," the"
5210,5640," way?"
5640,5910," The"
5910,6640," world."
6640,6910," The"
6910,7640," world."
7640,7880," Are"
7880,8040," we"
8040,8760," promoting"
8760,8920," it"
8920,9080," to"
9080,9320," our"
9320,9700," work"
9700,10720," colleagues?"
10720,11000," Of"
11000,12140," course,"
12140,13160," yeah."
13160,13820," That's"
13820,14150," our"
14150,14700," first"
14700,15600," users."
15600,15950," All"
15950,16760," right,"
16760,17460," well,"
17460,18190," let's"
18190,18390," get"
18390,18880," into"
18880,19480," it."
19480,20080," Topic"
20080,20790," number"
20790,21380," one,"
21380,21740," the"
21740,22600," news."
22600,23070," What"
23070,23420," has"
23420,23770," the"
23770,24710," shakeout"
24710,25640," revealed"
25640,26050," in"
26050,26230," the"
26230,26430," AI"
26430,27800," rotation?"
27800,27800,""
27800,28070," The"
28070,28610," crypto"
28610,29330," shakeout"
29330,29600," and"
29600,29870," the"
29870,30640," rotation"
30640,31240," of"
31240,31530," capital"
31530,32230," towards"
32230,32740," AI."
32740,33160," That's"
33160,33740," right."
33740,34740," Exactly."
34740,34820," I"
34820,35250," don't"
35250,35900," know."
35900,36030," I"
36030,36700," think"
36700,37240," it's"
37240,37370," a"
37370,37770," bit"
37770,38710," scary,"
38710,39840," right?"
39840,40700," Everybody,"
40700,40780," I"
40780,41320," think,"
41320,41710," there"
41710,41950," was"
41950,42430," this"
42430,42590," talk"
42590,42980," about"
42980,43290," the"
43290,43610," super"
43610,44150," cycle,"
44150,44390," but"
44390,44480," I"
44480,44860," don't"
44860,45380," know"
45380,45930," if"
45930,46000," that's"
46000,46280," what's"
46280,46700," happening"
46700,47000," now."
47000,47120," It"
47120,47420," seems"
47420,47660," like"
47660,47840," the"
47840,48260," capital"
48260,48380," is"
48380,48680," going"
48680,48860," and"
48860,48920," a"
48920,49100," lot"
49100,49220," of"
49220,49590," people"
49590,49760," are"
49760,50110," scared"
50110,50370," that"
50370,50600," it's"
50600,50780," not"
50780,51200," coming"
51200,51860," back,"
51860,52760," right?"
52760,53760," Yeah."
53760,54100," Yeah,"
54100,54500," Tyler,"
54500,54670," you"
54670,55080," brought"
55080,55190," up"
55190,55420," some"
55420,55650," fear"
55650,55940," about"
55940,56350," this"
56350,56580," earlier"
56580,56800," this"
56800,57320," week."
57320,57320,""
57320,57590," Would"
57590,57750," you"
57750,58020," share"
58020,58240," your"
58240,58880," thoughts?"
58880,59520," Oh,"
59520,60520," man."
60520,60570," I"
60570,60910," mean,"
60910,61080," the"
61080,61370," first"
61370,61600," sort"
61600,61710," of"
61710,62000," thing"
62000,62110," is"
62110,62340," just"
62340,62680," that,"
62680,63110," like,"
63110,63190," the"
63190,63470," money"
63470,63960," printer"
63960,64170," isn't"
64170,64570," ripping"
64570,64980," right"
64980,65980," now."
65980,66180," So"
66180,66880," Bitcoin"
66880,67180," and"
67180,67580," hard"
67580,68180," assets"
68180,68780," aren't"
68780,69890," necessarily"
69890,70410," going"
70410,70620," to"
70620,70940," run"
70940,71290," when"
71290,71690," that"
71690,72760," happens."
72760,73000," And"
73000,73310," here"
73310,73400," I"
73400,73640," was"
73640,74290," thinking"
74290,74610," that"
74610,75350," they're"
75350,75570," going"
75570,75730," to"
75730,76210," lower"
76210,76530," rates"
76530,77190," sometime"
77190,77330," in"
77330,77720," the"
77720,78400," future."
78400,78600," You"
78600,79000," know,"
79000,79330," Trump"
79330,79460," is"
79460,79790," going"
79790,79920," to"
79920,80320," change"
80320,80520," out"
80520,80990," the"
80990,81120," people"
81120,81240," at"
81240,81440," the"
81440,81920," Fed."
81920,82240," He's"
82240,82480," got"
82480,82810," this"
82810,83050," new"
83050,83280," guy"
83280,83780," that's"
83780,84110," like"
84110,84510," his"
84510,84680," dude"
84680,84830," in"
84830,85080," the"
85080,85640," Fed."
85640,85640,""
85640,86020," He's"
86020,86510," going"
86510,86700," to"
86700,86990," run"
86990,87280," the"
87280,87990," economy"
87990,88260," hot"
88260,89090," because"
89090,89440," Trump"
89440,89930," loves"
89930,90290," low"
90290,91120," rates."
91120,91470," Bitcoin"
91470,91570," is"
91570,91820," going"
91820,91920," to"
91920,92120," have"
92120,92270," its"
92270,92420," big"
92420,92620," bull"
92620,93120," market."
93120,93490," And"
93490,93980," then"
93980,94590," Trump"
94590,95180," just"
95180,95940," decides"
95940,96560," to"
96560,96790," start"
96790,97260," this"
97260,98080," insane"
98080,98390," war"
98390,98660," in"
98660,99110," Iran"
99110,99500," and"
99500,100030," just"
100030,100470," kick"
100470,100830," off"
100830,100960," a"
100960,101680," whole"
101680,101850," huge"
101850,102060," round"
102060,102140," of"
102140,102680," inflation."
102680,102910," So"
102910,103250," now"
103250,103820," we've"
103820,104160," got"
104160,104390," to"
104390,104890," keep"
104890,105420," rates"
105420,106120," high"
106120,106220," and"
106220,106680," that"
106680,106950," is"
106950,107640," going"
107640,107710," to"
107710,108230," hurt"
108230,108510," all"
108510,109080," these"
109080,110000," assets,"
